Question,US_state,Largest_City,Capital_City,Outcome
1,Alabama,Birmingham,Montgomery,0
2,Alaska,Anchorage,Juneau,0
3,Arizona,Phoenix,Phoenix,1
4,Arkansas,Little Rock,Little Rock,1
5,California,Los Angeles,Sacramento,0
6,Colorado,Denver,Denver,1
7,Connecticut,Bridgeport,Hartford,0
8,Delaware,Wilmington,Dover,0
9,Florida,Jacksonville,Tallahassee,0
10,Georgia,Atlanta,Atlanta,1
11,Hawaii,Honolulu,Honolulu,1
12,Idaho,Boise,Boise,1
13,Illinois,Chicago,Springfield,0
14,Indiana,Indianapolis,Indianapolis,1
15,Iowa,Des Moines,Des Moines,1
16,Kansas,Wichita,Topeka,0
17,Kentucky,Louisville,Frankfort,0
18,Louisiana,New Orleans ,Baton Rouge,0
19,Maine,Portland,Augusta,0
20,Maryland,Baltimore,Annapolis,0
21,Massachusetts,Boston,Boston,1
22,Michigan,Detroit,Lansing,0
23,Minnesota,Minneapolis,Saint Paul,0
24,Mississippi,Jackson,Jackson,1
25,Missouri,Kansas City,Jefferson City,0
26,Montana,Billings,Helena,0
27,Nebraska,Omaha,Lincoln,0
28,Nevada,Las Vegas,Carson City,0
29,New Hampshire,Manchester,Concord,0
30,New Jersey,Newark,Trenton,0
31,New Mexico,Albuquerque,Santa Fe,0
32,New York,New York City,Albany,0
33,North Carolina,Charlotte,Raleigh,0
34,North Dakota,Fargo,Bismarck,0
35,Ohio,Columbus,Columbus,1
36,Oklahoma,Oklahoma City,Oklahoma City,1
37,Oregon,Portland,Salem,0
38,Pennsylvania,Philadelphia,Harrisburg,0
39,Rhode Island,Providence,Providence,1
40,South Carolina,Columbia,Columbia,1
41,South Dakota,Sioux Falls,Pierre,0
42,Tennessee,Memphis,Nashville,0
43,Texas,Houston,Austin,0
44,Utah,Salt Lake City,Salt Lake City,1
45,Vermont,Burlington,Montpelier,0
46,Virginia,Virginia Beach,Richmond,0
47,Washington,Seattle,Olympia,0
48,West Virginia,Charleston,Charleston,1
49,Wisconsin,Milwaukee,Madison,0
50,Wyoming,Cheyenne,Cheyenne,1
